
1,1,140,37,2147483647,-1,false,,1,NEUTRAL,,1,120
2,2,170,49,2147483647,-1,false,,2,NEUTRAL,,2,120
5,5,460,149,97,101,true,,5,RIGHT,,5,80
6,6,490,161,96,107,true,,6,DOWN,,6,50
7,7,540,185,88,119,true,,7,UP,,7,0
8,8,540,197,76,125,true,,8,DOWN,,8,90
9,9,540,233,40,145,true,,9,UP,,9,120
11,11,660,281,48,121,true,,11,LEFT,,11,60
12,12,690,293,36,115,true,,12,UP,,12,60
15,15,750,369,40,148,false,,15,UP,,15,0
16,16,750,405,60,116,false,,16,UP,,16,0
17,17,750,417,48,108,false,,17,LEFT,,17,0
18,18,750,429,36,108,false,,18,RIGHT,,18,0
19,19,750,441,24,108,false,,19,RIGHT,,19,0
20,20,750,493,28,132,false,,20,LEFT,,20,0
21,21,750,505,40,156,false,,21,RIGHT,,21,0
22,22,750,541,76,136,false,,22,RIGHT,,22,0
23,23,750,553,88,112,false,,23,LEFT,,23,0
24,24,750,605,24,88,false,,24,DOWN,,24,30
25,25,750,617,36,88,false,,25,LEFT,,25,60
26,26,780,629,84,112,false,,26,RIGHT,,26,110
27,27,810,641,72,128,false,,27,DOWN,,27,80
28,28,890,677,76,128,false,,28,UP,,28,0
29,29,890,713,40,140,false,,29,LEFT,,29,0
30,30,890,725,28,116,false,,30,LEFT,,30,30
31,31,890,777,24,92,false,,31,UP,,31,60
32,32,920,789,36,68,false,,32,UP,,32,90
33,33,950,801,48,60,false,,33,UP,,33,90
34,34,1010,825,2147483647,36,false,,34,NEUTRAL,,34,40
35,35,1040,837,32,36,false,,35,RIGHT,,35,50
36,36,1050,862,2147483647,27,false,,36,NEUTRAL,,36,70
37,37,1090,878,2147483647,5,false,,37,DOWN,,37,100
38,38,1120,890,2147483647,5,false,,38,DOWN,,38,140
40,40,1260,946,2147483647,45,false,,40,RIGHT,,40,100
41,41,1290,958,2147483647,49,false,,41,DOWN,,41,70
42,42,1360,986,2147483647,56,false,,42,LEFT,,42,0

43,43,0,15,2147483647,-1,false,,43,NEUTRAL,,43,0
44,44,0,39,2147483647,-1,false,,44,NEUTRAL,,44,10
45,45,0,51,2147483647,-1,false,,45,NEUTRAL,,45,80
46,46,10,63,2147483647,-1,false,,46,UP,,46,240
48,48,250,143,16,67,true,,48,DOWN,,48,70
49,49,290,159,32,62,true,,49,DOWN,,49,90
50,50,320,171,72,75,true,,50,DOWN,,50,90
51,51,380,195,2147483647,42,true,,51,NEUTRAL,,51,90
52,52,410,207,36,48,true,,52,LEFT,,52,60
53,53,470,231,60,62,true,,53,UP,,53,0
54,54,470,255,2147483647,69,true,,54,RIGHT,,54,0
55,55,470,279,2147483647,67,true,,55,UP,,55,0
56,56,470,291,2147483647,49,true,,56,DOWN,,56,0
57,57,470,303,2147483647,31,true,,57,RIGHT,,57,0
58,58,470,331,2147483647,14,false,,58,NEUTRAL,,58,20
59,59,470,383,2147483647,14,false,,59,NEUTRAL,,59,20
60,60,490,395,28,38,false,,60,UP,,60,0
61,61,490,447,16,54,false,,61,DOWN,,61,0
62,62,490,463,32,47,false,,62,UP,,62,0
63,63,490,475,44,54,false,,63,DOWN,,63,0
64,64,490,499,48,54,false,,64,LEFT,,64,0
65,65,490,535,84,89,false,,65,DOWN,,65,0
66,66,490,559,84,94,false,,66,DOWN,,66,0
67,67,490,583,60,115,false,,67,RIGHT,,67,30
68,68,490,607,36,99,false,,68,DOWN,,68,200
69,69,520,619,24,102,false,,69,RIGHT,,69,230
70,70,690,671,28,151,true,,70,UP,,70,80
72,72,770,707,24,124,true,,72,LEFT,,72,30
73,73,770,759,28,161,true,,73,DOWN,,73,120
74,74,800,771,40,167,true,,74,DOWN,,74,120
75,75,890,807,76,174,true,,75,DOWN,,75,200
77,77,1090,871,97,128,true,,77,DOWN,,77,80
78,78,1120,883,96,138,true,,78,DOWN,,78,50
79,79,1170,907,88,153,true,,79,DOWN,,79,0
80,80,1170,919,76,159,true,,80,DOWN,,80,0
81,81,1170,955,40,177,true,,81,DOWN,,81,0
82,82,1170,967,28,159,true,,82,DOWN,,82,0
